pokedex_number,generation,name,type1,type2,classification,abilities,percentage_male,capture_rate,base_egg_steps,base_happiness,height_m,weight_kg,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
1,1,Bulbasaur,grass,poison,Seed Pokémon,"['Overgrow', 'Chlorophyll']",88.1,45,5120,70,0.7,6.9,318,45,49,49,65,65,45,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
2,1,Ivysaur,grass,poison,Seed Pokémon,"['Overgrow', 'Chlorophyll']",88.1,45,5120,70,1.0,13.0,405,60,62,63,80,80,60,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
3,1,Venusaur,grass,poison,Seed Pokémon,"['Overgrow', 'Chlorophyll']",88.1,45,5120,70,2.0,100.0,625,80,100,123,122,120,80,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
4,1,Charmander,fire,,Lizard Pokémon,"['Blaze', 'Solar Power']",88.1,45,5120,70,0.6,8.5,309,39,52,43,60,50,65,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
5,1,Charmeleon,fire,,Flame Pokémon,"['Blaze', 'Solar Power']",88.1,45,5120,70,1.1,19.0,405,58,64,58,80,65,80,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
6,1,Charizard,fire,flying,Flame Pokémon,"['Blaze', 'Solar Power']",88.1,45,5120,70,1.7,90.5,634,78,104,78,159,115,100,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
7,1,Squirtle,water,,Tiny Turtle Pokémon,"['Torrent', 'Rain Dish']",88.1,45,5120,70,0.5,9.0,314,44,48,65,50,64,43,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
8,1,Wartortle,water,,Turtle Pokémon,"['Torrent', 'Rain Dish']",88.1,45,5120,70,1.0,22.5,405,59,63,80,65,80,58,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
9,1,Blastoise,water,,Shellfish Pokémon,"['Torrent', 'Rain Dish']",88.1,45,5120,70,1.6,85.5,630,79,103,120,135,115,78,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
10,1,Caterpie,bug,,Worm Pokémon,"['Shield Dust', 'Run Away']",50.0,255,3840,70,0.3,2.9,195,45,30,35,20,20,45,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
